time,value
2024-09-05 15:36:27,-0.1459621787071228
2024-09-05 15:36:29,-0.15613168478012085
2024-09-05 15:36:32,-0.16390834748744965
2024-09-05 15:37:03,-0.1501496136188507
2024-09-05 15:37:05,-0.15074782073497772
2024-09-05 15:37:08,-0.13579268753528595
2024-09-05 15:37:10,-0.15254244208335876
2024-09-05 15:37:14,-0.14895321428775787
2024-09-05 15:37:16,-0.1495514214038849
2024-09-05 15:37:20,-0.1423729509115219
2024-09-05 15:37:24,-0.14476576447486877
2024-09-05 15:37:26,-0.1495514214038849
2024-09-05 15:37:29,-0.16450655460357666
2024-09-05 15:37:32,-0.1495514214038849
2024-09-05 15:37:35,-0.15194423496723175
2024-09-05 15:37:38,-0.1423729509115219
2024-09-05 15:37:41,-0.14356936514377594
2024-09-05 15:37:44,-0.15613168478012085
2024-09-05 15:37:49,-0.15134602785110474
2024-09-05 15:37:52,-0.1381855010986328
2024-09-05 15:37:55,-0.15254244208335876
2024-09-05 15:37:58,-0.1453639715909958
2024-09-05 15:38:01,-0.14895321428775787
2024-09-05 15:38:04,-0.13998012244701385
2024-09-05 15:38:07,-0.15194423496723175
2024-09-05 15:38:11,-0.15254244208335876
2024-09-05 15:38:14,-0.15134602785110474
2024-09-05 15:38:17,-0.14656038582324982
2024-09-05 15:38:20,-0.13878370821475983
2024-09-05 15:38:23,-0.13459627330303192
2024-09-05 15:38:26,-0.1459621787071228
2024-09-05 15:38:30,-0.14656038582324982
2024-09-05 15:38:33,-0.14297115802764893
2024-09-05 15:38:36,-0.15493527054786682
